Jurisdiction	Transit/bus-driver-specific treatment	Statute number(s)	Covered worker/setting	Statutory language / trigger (condensed from statute)	Felony or misdemeanor	Punishment / grading	Distinct from violence in general?	Source URL(s)	Notes
Alabama	No state transit- or bus-driver-specific assault enhancement located.	Ala. Code sections 13A-6-20, 13A-6-21, 13A-6-22	General assault victims	General assault statutes cover causing or attempting physical injury, serious physical injury, or injury with a deadly weapon/dangerous instrument.	Depends on assault degree	First degree Class B felony; second degree Class C felony; third degree Class A misdemeanor.	No	https://alisondb.legislature.state.al.us/alison/codeofalabama/1975/coatoc.htm	No separate public-transit-driver category found in current state assault code.
Alaska	State law: no state transit-driver-specific assault enhancement located. Local example: Anchorage protects public transit workers.	State: AS 11.41.200-11.41.230; Anchorage Municipal Code sections 8.05.015, 8.10.010, 11.70.030	Public transit worker under Anchorage ordinance; general victims under Alaska state assault statutes	Anchorage assault is distinct when committed against a public transit worker and the offender knows or reasonably should know the worker is engaged in official duties.	State: depends on degree; Anchorage: Class A misdemeanor	Anchorage class A misdemeanor; transit-worker status may be an aggravating factor at sentencing; conviction for assaulting a public transit worker carries an automatic 1-year transit-system ban.	Partly; local, not state	https://www.akleg.gov/basis/statutes.asp; https://www.muni.org/Departments/transit/PeopleMover/Pages/OrdinanceAO202420S1.aspx	Local ordinances were not exhaustively surveyed; Anchorage is included because it directly surfaced and is transit-specific.
Arizona	Yes. Assault on a public transit employee can be aggravated assault.	A.R.S. section 13-1204(A)(8)(k), as amended by 2025 Ariz. Sess. Laws ch. 172	Public transit employee performing duties on or off a bus, van, or shuttle while transferring community members	Aggravated assault includes an assault where the victim is a public transit employee performing duties on/off a vehicle while engaged in transferring community members to and from destinations in a bus, van, or shuttle.	Class 6 felony	Arizona Class 6 felony; for first felony under general sentencing, presumptive 1 year, range commonly 4 months to 2 years, subject to Arizona sentencing rules.	Yes	https://www.azleg.gov/legtext/57leg/1r/laws/0172.htm	Current as enacted in 2025 and in force by research date.
Arkansas	No assault-specific transit-driver enhancement located; separate bus-conduct offenses exist.	Ark. Code sections 5-13-201 to 5-13-205; section 5-60-112; section 5-39-214	General assault victims; bus passengers/driver orders; school buses	General assault applies. Bus misconduct includes failure to obey a reasonable request or order of a bus driver or authorized company representative; unauthorized entry of a school bus is separately prohibited.	General assault: depends; bus misconduct generally misdemeanor	Assault degrees vary; first-degree assault is Class A misdemeanor; bus misconduct penalties are separate and not a violence enhancement.	Limited bus-conduct distinction; not a violence-against-driver enhancement	https://codes.findlaw.com/ar/title-5-criminal-offenses/ar-code-sect-5-13-205.html; https://codes.findlaw.com/ar/title-5-criminal-offenses/ar-code-sect-5-60-112/	No public-transit-driver assault felony/misdemeanor enhancement located.
California	Yes. Separate assault/battery provisions for public transportation settings and transportation personnel/passengers.	Cal. Penal Code sections 241.3, 243.3, 245.2	Public transportation provider property/vehicle; operators, drivers, passengers, station/ticket agents, public transportation providers, employees/contractors	section 241.3 covers assault against any person on public transportation provider property or vehicle. section 243.3 covers battery against operators, drivers, passengers, agents, providers, employees, or contractors when duty/status elements are met. section 245.2 covers assault with a deadly weapon or force likely to produce great bodily injury against transportation operators/drivers/passengers/agents.	Misdemeanor or felony depending offense	section 241.3: up to 1 year jail/$2,000. section 243.3: up to 1 year/$10,000; if injury requiring medical treatment, wobbler up to 3 years. section 245.2: state prison 3, 4, or 5 years.	Yes	https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=241.3; https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=243.3; https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=245.2	California also has related robbery/murder provisions for transportation workers/passengers, but this table focuses on assault/battery violence.
Colorado	Yes, but framed as harassment/interference with a transit worker, not a general assault enhancement.	C.R.S. sections 18-9-101, 18-9-111, 32-9-160, as amended by HB25-1290	Transit worker; RTD employees/agents	Criminal harassment includes wrongfully interfering with a transit worker performing a lawful duty. RTD law separately prohibits wrongfully interfering with a district officer, agent, or employee.	Class 1 misdemeanor for transit-worker harassment; Class 2 misdemeanor for RTD interference	CO Class 1 misdemeanor generally up to 364 days jail/$1,000; Class 2 misdemeanor generally up to 120 days/$750.	Yes, for interference/harassment	https://www.leg.colorado.gov/bills/hb25-1290; https://www.leg.colorado.gov/bill_files/40794/download	2025 law; avoid treating it as an assault reclassification.
Connecticut	Yes. Assault of public transit personnel and aggravated assault of a public transit employee are separate felonies.	Conn. Gen. Stat. sections 53a-167c, 53a-167e	Public transit personnel and public transit employees	section 53a-167c covers assaulting public transit personnel with intent to prevent duties, including injury, objects, chemical agents, noxious substances, or bodily fluids. section 53a-167e covers aggravated assault of a public transit employee with knife/box-cutter/firearm use, display, threat, or possession.	Class C felony	Class C felony: 1 to 10 years; section 53a-167e includes fine up to $20,000.	Yes	https://www.cga.ct.gov/current/pub/chap_952.htm	Definitions include fixed-route bus/ferry and rail-related workers.
Delaware	Yes. Public transit operators are protected in assault in the second and first degree.	11 Del. C. sections 612(a)(3), 613(a)(5)	Public transit operator acting in lawful performance of duty	Second-degree assault includes intentionally causing physical injury to a public transit operator acting in lawful duty. First-degree assault includes intentionally causing serious physical injury to a public transit operator acting in lawful duty.	Class D felony for section 612 transit-operator physical injury; Class B felony for section 613 serious physical injury	Class D felony up to 8 years; Class B felony 2 to 25 years.	Yes	https://delcode.delaware.gov/title11/c005/sc02/	section 612 title says class C or D felony; the transit-operator injury paragraph is treated as Class D unless another paragraph applies.
District of Columbia	Yes. Enhanced penalties for crimes of violence against transit operators and Metrorail station employees/managers/passengers.	D.C. Code section 22-3751.01; notice requirement section 35-261	Transit operators, Metrorail station managers/employees, mass-transit-vehicle passengers	Any person who commits a crime of violence against a transit operator operating a mass transit vehicle in D.C., or against on-duty Metrorail station personnel/passengers, may receive enhanced punishment.	Enhancement to underlying offense	Up to 1.5 times the otherwise-authorized maximum imprisonment and fine.	Yes	https://code.dccouncil.gov/us/dc/council/code/sections/22-3751.01; https://code.dccouncil.gov/us/dc/council/code/sections/35-261	Works as an enhancement, not a standalone assault degree.
Florida	Yes. Assault/battery against public transit employees or agents is reclassified upward.	Fla. Stat. section 784.07	Public transit employees or agents, including bus operators, train operators, revenue collectors, security, maintenance, field supervisors	Knowingly committing assault, battery, aggravated assault, or aggravated battery upon listed personnel, including public transit employees/agents, while they are engaged in lawful duties triggers reclassification.	Reclassified misdemeanor/felony	Assault: 2nd-degree misdemeanor to 1st-degree misdemeanor. Battery: 1st-degree misdemeanor to 3rd-degree felony. Aggravated assault: 3rd-degree felony to 2nd-degree felony. Aggravated battery: 2nd-degree felony to 1st-degree felony.	Yes	https://www.leg.state.fl.us/STATUTES/index.cfm?App_mode=Display_Statute&URL=0700-0799/0784/Sections/0784.07.html	General Florida maximums: 1st-degree misdemeanor up to 1 year/$1,000; 3rd-degree felony up to 5 years/$5,000; 2nd-degree felony up to 15 years/$10,000; 1st-degree felony up to 30 years/$10,000.
